nombre,central,tecnologia_etiqueta,nombre_agente,tecnologia,tecnologia_maquinas,potencia_instalada_mw,provincia,departamento,aglomeracion,sistema,pah,id_renovar,resolucion_renovables,fuente,geojson
AG CEMENTOS AVELLANEDA S. Luis,CALEFV,Fotovoltaica,AG CEMENTOS AVELLANEDA S. Luis,SOL,FOTOVOLTAICA,,SAN LUIS,Belgrano,,Interconectado MEM,,,,DIE,"{""type"":""Point"",""coordinates"":[-66.8541083696534,-32.8443305725936]}"
P.EOLICO PAMPA ENERGIA,PE32EO,Eólica,P.EOLICO PAMPA ENERGIA,EOL,EOLICA,,BUENOS AIRES,Coronel de Marina Leonardo Rosales,,Interconectado MEM,,,,DIE,"{""type"":""Point"",""coordinates"":[-61.7614583118308,-38.7658186500088]}"
P.EOLICO ARAUCO II R1.5 ET3y4,AR22EO,Eólica,P.EOLICO ARAUCO II R1.5 ET3y4,EOL,EOLICA,,LA RIOJA,Arauco,,Interconectado MEM,,EOL-1047,,DIE,"{""type"":""Point"",""coordinates"":[-66.7292576386509,-28.7478294415404]}"
P.EOLICO DE LA BUENA VENTURA,BVENEO,Eólica,P.EOLICO DE LA BUENA VENTURA,EOL,EOLICA,,BUENOS AIRES,Adolfo Gonzales Chaves,,Interconectado MEM,,,,DIE,"{""type"":""Point"",""coordinates"":[-60.1361636159788,-38.0869048319536]}"
P.EOLICO 3 PICOS MATER,VIVOEO,Eólica,P.EOLICO 3 PICOS MATER,EOL,EOLICA,,BUENOS AIRES,Mar Chiquita,,Interconectado MEM,,177,,DIE,"{""type"":""Point"",""coordinates"":[-57.7267947362451,-37.694343152187]}"
P.EOLICO SAN LUIS NORTE,SLUNEO,Eólica,P.GENERADOR SAN LUIS NORTE,EOL,EOLICA,,SAN LUIS,Belgrano,,Interconectado MEM,,81,,CRPEE,"{""type"":""Point"",""coordinates"":[-66.3522286141671,-32.7743956171487]}"
BIOGAS CTBG GORINA ENERGIA,GORI,Biogas,BIOGAS CTBG GORINA ENERGIA,BIOG,BIOGAS,,BUENOS AIRES,La Plata,GRAN BUENOS AIRES,Interconectado MEM,,BG-3510,RENOVAR RONDA 3,DIE,"{""type"":""Point"",""coordinates"":[-58.0476746277023,-34.9225826113656]}"
BIOGAS CTBG. ADECOAGRO ENERGÍA,ADEC,Biogas,BIOGAS CTBG. ADECOAGRO ENERGÍA,BIOG,BIOGAS,,SANTA FE,General López,,Interconectado MEM,,BG-3504,,DIE,"{""type"":""Point"",""coordinates"":[-62.0472905288459,-34.2366228020004]}"
GENNEIA RENOVABLES MATER,TOC3FV,Fotovoltaica,GENNEIA RENOVABLES MATER,SOL,FOTOVOLTAICA,,SAN JUAN,Calingasta,,Interconectado MEM,,1,,DIE,"{""type"":""Point"",""coordinates"":[-69.4650261862729,-30.8318959157219]}"
PQUE SOLAR E. Ren. Las Lomas,LOMAFV,Fotovoltaica,PQUE SOLAR E. Ren. Las Lomas,SOL,FOTOVOLTAICA,,LA RIOJA,Chilecito,,Interconectado MEM,,34,,DIE,"{""type"":""Point"",""coordinates"":[-67.415031491,-29.604599821]}"
360 ENERGY FV,LRI3FV,Fotovoltaica,360 ENERGY FV,SOL,FOTOVOLTAICA,,LA RIOJA,Chilecito,,Interconectado MEM,,,,DIE,"{""type"":""Point"",""coordinates"":[-67.4256517609007,-29.3275714474753]}"
BIOGAS CT BIOANGLO,BANG,Biogas,BIOGAS CT BIOANGLO,BIOG,BIOGAS,,CORDOBA,Río Seco,,Interconectado MEM,,,,DIE,"{""type"":""Point"",""coordinates"":[-63.4920807571303,-29.8553814175606]}"
PARQUE SOLAR ALGARROBO SOLARGE,ALGRFV,Fotovoltaica,PARQUE SOLAR ALGARROBO SOLARGE,SOL,FOTOVOLTAICA,,SAN JUAN,Caucete,,Interconectado MEM,,,,DIE,"{""type"":""Point"",""coordinates"":[-68.18557319,-31.70229284]}"
PQUE SOLAR VICTORICA,VICTFV,Fotovoltaica,PQUE SOLAR VICTORICA,SOL,FOTOVOLTAICA,,LA PAMPA,Loventué,VICTORICA,Interconectado MEM,,,,DIE,"{""type"":""Point"",""coordinates"":[-65.4310483981794,-36.2296479962609]}"
360 ENERGY FV,LRI2FV,Fotovoltaica,360 ENERGY FV,SOL,FOTOVOLTAICA,,LA RIOJA,Chilecito,,Interconectado MEM,,,,DIE,"{""type"":""Point"",""coordinates"":[-67.4255337438147,-29.3275901544931]}"
PQUE SOLAR HELIOS SANTA ROSA 2,HSR2FV,Fotovoltaica,PQUE SOLAR HELIOS SANTA ROSA 2,SOL,FOTOVOLTAICA,,MENDOZA,Santa Rosa,,Interconectado MEM,,,,DIE,"{""type"":""Point"",""coordinates"":[-68.1653471140472,-33.2146424663355]}"
Aldea Apeleg,,Térmica,,DI,,,CHUBUT,Río Senguer,ALDEA APELEG,Aislado,,,,ENRE CHUBUT,"{""type"":""Point"",""coordinates"":[-70.852687,-44.686278]}"
Aldea Beleiro,,Térmica,,DI,,,CHUBUT,Río Senguer,,Aislado,,,,ENRE CHUBUT,"{""type"":""Point"",""coordinates"":[-71.525366,-45.554258]}"
Aldea Epulef,,Térmica,,DI,,,CHUBUT,Languiñeo,,Aislado,,,,ENRE CHUBUT,"{""type"":""Point"",""coordinates"":[-69.692142,-43.3197611]}"
Alto Río Senguer,,Térmica,,DI,,,CHUBUT,Río Senguer,ALTO RIO SENGUER,Aislado,,,,ENRE CHUBUT,"{""type"":""Point"",""coordinates"":[-70.81083,-45.035931]}"
Arroyo Verde,,Térmica,,DI,,,RIO NEGRO,San Antonio,,Aislado,,,,ENRE CHUBUT,"{""type"":""Point"",""coordinates"":[-65.294025,-41.995905]}"
Atilio Viglione,,Térmica,,DI,,,CHUBUT,Tehuelches,,Aislado,,,,ENRE CHUBUT,"{""type"":""Point"",""coordinates"":[-71.66428,-44.189636]}"
Bajada del Diablo,,Térmica,,DI,,,CHUBUT,Mártires,,Aislado,,,,ENRE CHUBUT,"{""type"":""Point"",""coordinates"":[-67.457795,-42.884297]}"
Blancuntre,,Térmica,,DI,,,CHUBUT,Gastre,,Aislado,,,,ENRE CHUBUT,"{""type"":""Point"",""coordinates"":[-68.904505,-42.620367]}"
Buen Pasto,,Térmica,,DI,,,CHUBUT,Sarmiento,,Aislado,,,,ENRE CHUBUT,"{""type"":""Point"",""coordinates"":[-69.464113,-45.080107]}"
Camarones,,Térmica,,DI,,,CHUBUT,Florentino Ameghino,CAMARONES,Aislado,,,,ENRE CHUBUT,"{""type"":""Point"",""coordinates"":[-65.714319,-44.797662]}"
Cerro Condor,,Térmica,,DI,,,CHUBUT,Paso de Indios,,Aislado,,,,ENRE CHUBUT,"{""type"":""Point"",""coordinates"":[-69.164595,-43.421944]}"
Chacay Oeste,,Térmica,,DI,,,CHUBUT,Telsen,,Aislado,,,,ENRE CHUBUT,"{""type"":""Point"",""coordinates"":[-68.061683,-42.677583]}"
Colan Conhue,,Térmica,,DI,,,CHUBUT,Languiñeo,COLAN CONHUE,Aislado,,,,ENRE CHUBUT,"{""type"":""Point"",""coordinates"":[-69.93011,-43.2418171]}"
Colonia Cushamen,,Térmica,,DI,,,CHUBUT,Cushamen,,Aislado,,,,ENRE CHUBUT,"{""type"":""Point"",""coordinates"":[-70.887837,-42.109864]}"
Corcovado,,Térmica,,DI,,,CHUBUT,Futaleufú,CORCOVADO,Aislado,,,,ENRE CHUBUT,"{""type"":""Point"",""coordinates"":[-71.469113,-43.535228]}"
Costa del Lepa,,Térmica,,DI,,,CHUBUT,Cushamen,,Aislado,,,,ENRE CHUBUT,"{""type"":""Point"",""coordinates"":[-70.750469,-42.6883791]}"
Cushamen,,Térmica,,DI,,,CHUBUT,Cushamen,CUSHAMEN CENTRO,Aislado,,,,ENRE CHUBUT,"{""type"":""Point"",""coordinates"":[-70.665548,-42.170692]}"
Dr. Ricardo Rojas,,Térmica,,DI,,,CHUBUT,Río Senguer,,Aislado,,,,ENRE CHUBUT,"{""type"":""Point"",""coordinates"":[-71.038515,-45.579786]}"
El Escorial,,Térmica,,DI,,,CHUBUT,Gastre,,Aislado,,,,ENRE CHUBUT,"{""type"":""Point"",""coordinates"":[-68.541458,-43.08959]}"
El Mirasol,,Térmica,,DI,,,CHUBUT,Mártires,,Aislado,,,,ENRE CHUBUT,"{""type"":""Point"",""coordinates"":[-67.760337,-43.2838151]}"
El Turbio,,Térmica,,DI,,,CHUBUT,Cushamen,,Aislado,,,,ENRE CHUBUT,"{""type"":""Point"",""coordinates"":[-71.700541,-42.2480131]}"
Facundo,,Térmica,,DI,,,CHUBUT,Río Senguer,FACUNDO,Aislado,,,,ENRE CHUBUT,"{""type"":""Point"",""coordinates"":[-69.973357,-45.312037]}"
Fofo  Cahuel,,Térmica,,DI,,,CHUBUT,Cushamen,,Aislado,,,,ENRE CHUBUT,"{""type"":""Point"",""coordinates"":[-70.530505,-42.407902]}"
Gan Gan,,Térmica,,DI,,,CHUBUT,Telsen,,Aislado,,,,ENRE CHUBUT,"{""type"":""Point"",""coordinates"":[-68.271965,-42.52256]}"
Gastre,,Térmica,,DI,,,CHUBUT,Gastre,,Aislado,,,,ENRE CHUBUT,"{""type"":""Point"",""coordinates"":[-69.227123,-42.268959]}"
Gobernador Costa,,Térmica,,DI,,,CHUBUT,Tehuelches,GOBERNADOR COSTA,Aislado,,,,ENRE CHUBUT,"{""type"":""Point"",""coordinates"":[-70.566936,-44.0567851]}"
Gualjaina,,Térmica,,DI,,,CHUBUT,Cushamen,,Aislado,,,,ENRE CHUBUT,"{""type"":""Point"",""coordinates"":[-70.533433,-42.718546]}"
Lago Blanco,,Térmica,,DI,,,CHUBUT,Río Senguer,LAGO BLANCO,Aislado,,,,ENRE CHUBUT,"{""type"":""Point"",""coordinates"":[-71.270254,-45.9371581]}"
Lagunita Salada,,Térmica,,DI,,,CHUBUT,Gastre,,Aislado,,,,ENRE CHUBUT,"{""type"":""Point"",""coordinates"":[-69.14832,-42.739991]}"
Las Plumas,,Térmica,,DI,,,CHUBUT,Mártires,LAS PLUMAS,Aislado,,,,ENRE CHUBUT,"{""type"":""Point"",""coordinates"":[-67.278267,-43.720883]}"
Los Altares,,Térmica,,DI,,,CHUBUT,Paso de Indios,LOS ALTARES,Aislado,,,,ENRE CHUBUT,"{""type"":""Point"",""coordinates"":[-68.412724,-43.8836111]}"
Ñorquinco Sur,,Térmica,,DI,,,CHUBUT,Cushamen,,Aislado,,,,ENRE CHUBUT,"{""type"":""Point"",""coordinates"":[-70.856488,-42.023397]}"
Paso de Indios,,Térmica,,DI,,,CHUBUT,Paso de Indios,,Aislado,,,,ENRE CHUBUT,"{""type"":""Point"",""coordinates"":[-69.026419,-43.861881]}"
Paso del Sapo,,Térmica,,DI,,,CHUBUT,Languiñeo,,Aislado,,,,ENRE CHUBUT,"{""type"":""Point"",""coordinates"":[-69.607679,-42.7382911]}"
Piedra Parada,,Térmica,,DI,,,CHUBUT,Languiñeo,,Aislado,,,,ENRE CHUBUT,"{""type"":""Point"",""coordinates"":[-70.153294,-42.662756]}"
Raquil Huao,,Térmica,,DI,,,CHUBUT,Cushamen,,Aislado,,,,ENRE CHUBUT,"{""type"":""Point"",""coordinates"":[-70.9200271,-42.267023]}"
Río Mayo,,Térmica,,DI,,,CHUBUT,Río Senguer,,Aislado,,,,ENRE CHUBUT,"{""type"":""Point"",""coordinates"":[-70.2499051,-45.69093]}"
Río Pico,,Térmica,,DI,,,CHUBUT,Tehuelches,,Aislado,,,,ENRE CHUBUT,"{""type"":""Point"",""coordinates"":[-71.380521,-44.215763]}"
Tecka,,Térmica,,DI,,,CHUBUT,Languiñeo,,Aislado,,,,ENRE CHUBUT,"{""type"":""Point"",""coordinates"":[-70.8080721,-43.491195]}"
Sepaucal,,Térmica,,DI,,,CHUBUT,Telsen,,Aislado,,,,ENRE CHUBUT,"{""type"":""Point"",""coordinates"":[-67.4043831,-42.272303]}"
Telsen,,Térmica,,DI,,,CHUBUT,Telsen,,Aislado,,,,ENRE CHUBUT,"{""type"":""Point"",""coordinates"":[-66.9634231,-42.440155]}"
Yala Laubat,,Térmica,,DI,,,CHUBUT,Gastre,,Aislado,,,,ENRE CHUBUT,"{""type"":""Point"",""coordinates"":[-68.8661391,-42.75937]}"
BIOGAS CTBG BIOGAS BELL VILLE,BVIB,Biogas,BIOGAS CTBG BIOGAS BELL VILLE,BIOG,BIOGAS,,CORDOBA,Unión,,Interconectado MEM,,,,CAMMESA,"{""type"":""Point"",""coordinates"":[-62.6303145301393,-32.6211663555919]}"
CTBG San Luis - Diaser S.A.,SLUI,Biogas,CTBG San Luis - Diaser S.A.,BIOG,BIOGAS,,SAN LUIS,General Pedernera,,Interconectado MEM,,,,CAMMESA,"{""type"":""Point"",""coordinates"":[-65.5237167931177,-33.6332913323608]}"
GENNEIA RENOVABLES MATER,ELBIEO,Eólica,GENNEIA RENOVABLES MATER,EOL,EOLICA,,BUENOS AIRES,Tandil,,Interconectado MEM,,,,CAMMESA,"{""type"":""Point"",""coordinates"":[-59.0055802912524,-37.6974741416887]}"
P.EOLICO PAMPA ENERGIA,PEP6EO,Eólica,P.EOLICO PAMPA ENERGIA,EOL,EOLICA,,BUENOS AIRES,Bahía Blanca,,Interconectado MEM,,,,CAMMESA,"{""type"":""Point"",""coordinates"":[-61.9673237470551,-38.6574225286342]}"
P.EOLICO LEVALLE,LEV1EO,Eólica,P.EOLICO LEVALLE,EOL,EOLICA,,CORDOBA,Presidente Roque Sáenz Peña,,Interconectado MEM,,,,CAMMESA,"{""type"":""Point"",""coordinates"":[-63.9025042201764,-34.0332539048498]}"
360 ENERGY FV,LRIOFV,Fotovoltaica,360 ENERGY FV,SOL,FOTOVOLTAICA,,LA RIOJA,Chilecito,,Interconectado MEM,,,,CAMMESA,"{""type"":""Point"",""coordinates"":[-67.4207317069982,-29.3109417907436]}"
ARROYO SECO COGENERACION GMED.,ASEC,Térmica,ARROYO SECO COGENERACION GMED.,CC,TURBO GAS,,SANTA FE,Rosario,ARROYO SECO,Interconectado MEM,,,,CAMMESA,"{""type"":""Point"",""coordinates"":[-60.5218699768269,-33.1246098425865]}"
PQUE SOLAR PAMPA DEL INFIERNO,PINFFV,Fotovoltaica,PQUE SOLAR PAMPA DEL INFIERNO,SOL,FOTOVOLTAICA,,CHACO,Almirante Brown,,Interconectado MEM,,,,CAMMESA,"{""type"":""Point"",""coordinates"":[-61.2156457642094,-26.4907264600876]}"
P.EOLICO LEVALLE,LEV2EO,Eólica,P.EOLICO LEVALLE,EOL,EOLICA,,CORDOBA,Presidente Roque Sáenz Peña,,Interconectado MEM,,,,CAMMESA,"{""type"":""Point"",""coordinates"":[-63.9121632567096,-34.0798422886143]}"
CTBM Autogenerador La Florida,LFLO,Biomasa,CTBM Autogenerador La Florida,BIOM,BIOMASA,,TUCUMAN,Cruz Alta,LA FLORIDA,Interconectado MEM,,,,CAMMESA,"{""type"":""Point"",""coordinates"":[-65.0852473315527,-26.8172717595715]}"
PQUE SOLAR FTV CUTRAL CO,CUTRFV,Fotovoltaica,PQUE SOLAR FTV CUTRAL CO,SOL,FOTOVOLTAICA,,NEUQUEN,Confluencia,,Interconectado MEM,,,,CAMMESA,"{""type"":""Point"",""coordinates"":[-69.2782653441248,-38.93509175274]}"
P.EOLICO VIENTOS OLAVARRIA,OLAVEO,Eólica,P.EOLICO VIENTOS OLAVARRIA,EOL,EOLICA,,BUENOS AIRES,Olavarría,,Interconectado MEM,,,,CAMMESA,"{""type"":""Point"",""coordinates"":[-60.603237,-36.646879]}"
PARQUE FOTOV.AMANECER IV,AMA4FV,Fotovoltaica,PARQUE FOTOV.AMANECER IV,SOL,FOTOVOLTAICA,,CATAMARCA,Santa María,,Interconectado MEM,,,,CAMMESA,"{""type"":""Point"",""coordinates"":[-66.0147343650534,-26.6500545596239]}"
FV CHARATA 1,CHA1FV,Fotovoltaica,FV CHARATA 1,SOL,FOTOVOLTAICA,,CHACO,12 de Octubre,,Interconectado MEM,,,,CAMMESA,"{""type"":""Point"",""coordinates"":[-61.2225453524876,-27.2860623839742]}"
GENNEIA RENOVABLES MATER,LMOLFV,Fotovoltaica,GENNEIA RENOVABLES MATER,SOL,FOTOVOLTAICA,,MENDOZA,Malargüe,,Interconectado MEM,,,,CAMMESA,"{""type"":""Point"",""coordinates"":[-69.6176304789578,-35.4280886276125]}"
PQUE SOLAR VILLA ANGELA IV,VAN4FV,Fotovoltaica,PQUE SOLAR VILLA ANGELA IV,SOL,FOTOVOLTAICA,,CHACO,Mayor Luis J. Fontana,,Interconectado MEM,,,,CAMMESA,"{""type"":""Point"",""coordinates"":[-60.6985083397639,-27.5279455322657]}"
PQUE SOLAR VILLA ANGELA V,VAN5FV,Fotovoltaica,PQUE SOLAR VILLA ANGELA V,SOL,FOTOVOLTAICA,,CHACO,Mayor Luis J. Fontana,,Interconectado MEM,,,,CAMMESA,"{""type"":""Point"",""coordinates"":[-60.6985083397646,-27.5279455322665]}"
FV CHARATA 3,CHA3FV,Fotovoltaica,FV CHARATA 3,SOL,FOTOVOLTAICA,,CHACO,12 de Octubre,,Interconectado MEM,,,,CAMMESA,"{""type"":""Point"",""coordinates"":[-61.2416424437258,-27.2850062620558]}"
PQUE SOLAR LA SALVACION,SALVFV,Fotovoltaica,PQUE SOLAR LA SALVACION,SOL,FOTOVOLTAICA,,SAN LUIS,Junín,,Interconectado MEM,,,,CAMMESA,"{""type"":""Point"",""coordinates"":[-65.67015,-32.17485]}"
PQUE SOLAR VILLA ANGELA I,VANGFV,Fotovoltaica,PQUE SOLAR VILLA ANGELA I,SOL,FOTOVOLTAICA,,CHACO,Mayor Luis J. Fontana,,Interconectado MEM,,,,CAMMESA,"{""type"":""Point"",""coordinates"":[-60.6995819901256,-27.5269767809119]}"
PQUE SOLAR VILLA ANGELA II,VAN2FV,Fotovoltaica,PQUE SOLAR VILLA ANGELA II,SOL,FOTOVOLTAICA,,CHACO,Mayor Luis J. Fontana,,Interconectado MEM,,,,CAMMESA,"{""type"":""Point"",""coordinates"":[-60.6985083397645,-27.5269767809118]}"
PQUE SOLAR VILLA ANGELA III,VAN3FV,Fotovoltaica,PQUE SOLAR VILLA ANGELA III,SOL,FOTOVOLTAICA,,CHACO,Mayor Luis J. Fontana,,Interconectado MEM,,,,CAMMESA,"{""type"":""Point"",""coordinates"":[-60.6985083397648,-27.5269767809119]}"
PQUE SOLAR V.DE MARIA R SE REN,VMRSFV,Fotovoltaica,PQUE SOLAR V.DE MARIA R SE REN,SOL,FOTOVOLTAICA,,CORDOBA,Río Seco,,Interconectado MEM,,,,CAMMESA,"{""type"":""Point"",""coordinates"":[-63.767425839031,-29.9886857232055]}"
PQUE SOLAR V.DE MARIA R SE MAT,VMR2FV,Fotovoltaica,PQUE SOLAR V.DE MARIA R SE MAT,SOL,FOTOVOLTAICA,,CORDOBA,Río Seco,,Interconectado MEM,,,,CAMMESA,"{""type"":""Point"",""coordinates"":[-63.7674258390372,-29.9886857232051]}"
FV CHARATA 2,CHA2FV,Fotovoltaica,FV CHARATA 2,SOL,FOTOVOLTAICA,,CHACO,12 de Octubre,,Interconectado MEM,,,,CAMMESA,"{""type"":""Point"",""coordinates"":[-61.2416424437258,-27.2850062620552]}"
GENNEIA RENOVABLES MATER,ANCHFV,Fotovoltaica,GENNEIA RENOVABLES MATER,SOL,FOTOVOLTAICA,,MENDOZA,Luján de Cuyo,,Interconectado MEM,,,,CAMMESA,"{""type"":""Point"",""coordinates"":[-68.895075599119,-33.310393939367]}"
PQUE SOLAR LA SALVACION,SLV2FV,Fotovoltaica,PQUE SOLAR LA SALVACION,SOL,FOTOVOLTAICA,,SAN LUIS,Junín,,Interconectado MEM,,,,CAMMESA,"{""type"":""Point"",""coordinates"":[-65.6654752984422,-32.1876018917203]}"
P.GENERADOR SAN LUIS NORTE,SLUNFV,Fotovoltaica,P.GENERADOR SAN LUIS NORTE,SOL,FOTOVOLTAICA,,SAN LUIS,Belgrano,,Interconectado MEM,,,,CAMMESA,"{""type"":""Point"",""coordinates"":[-66.3356246496398,-32.7862128234977]}"
